"","Run","Assay.Type","AvgSpotLen","Bases","BioProject","BioSample","Bytes","Sample_name","Cell_type","Center.Name","chip_antibody","Consent","DATASTORE.filetype","DATASTORE.provider","DATASTORE.region","Experiment","GEO_Accession..exp.","Instrument","LibraryLayout","LibrarySelection","LibrarySource","Organism","passages","Platform","ReleaseDate","Sample.Name","source_name","SRA.Study","strain","bed_id","bw_id","new_bw_id","new_bed_id"
"1","SRR1521788","ChIP-Seq",60,386031540,"PRJNA255796","SAMN02929018",176119844,"H3K27Ac_LT_HSC_1","Long Term Hematopoietic Stem Cell (LT-HSC)","GEO","H3K27Ac","public","sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US","SRX658374","GSM1441269","Illumina HiSeq 1500","SINGLE","ChIP","GENOMIC","Mus musculus","In vivo FACS purified cells","ILLUMINA","2014-08-08T00:00:00Z","GSM1441269","Long Term Hematopoietic Stem Cell (LT-HSC)","SRP044685","C57BL/6","SRR1521788_1_trimm_peaks.broadPeak","SRR1521788_1_trimm.bw","H3K27Ac_LT_HSC_1.bw","H3K27Ac_LT_HSC_1.broadPeak"
"2","SRR1521789","ChIP-Seq",60,385505160,"PRJNA255796","SAMN02929018",175066236,"H3K27Ac_LT_HSC_2","Long Term Hematopoietic Stem Cell (LT-HSC)","GEO","H3K27Ac","public","sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1","SRX658374","GSM1441269","Illumina HiSeq 1500","SINGLE","ChIP","GENOMIC","Mus musculus","In vivo FACS purified cells","ILLUMINA","2014-08-08T00:00:00Z","GSM1441269","Long Term Hematopoietic Stem Cell (LT-HSC)","SRP044685","C57BL/6","SRR1521789_1_trimm_peaks.broadPeak","SRR1521789_1_trimm.bw","H3K27Ac_LT_HSC_2.bw","H3K27Ac_LT_HSC_2.broadPeak"
"3","SRR1521790","ChIP-Seq",60,336495360,"PRJNA255796","SAMN02929019",156576050,"H3K27Ac_ST_HSC_1","Short Term Hematopoietic Stem Cell (ST-HSC)","GEO","H3K27Ac","public","sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1","SRX658375","GSM1441270","Illumina HiSeq 1500","SINGLE","ChIP","GENOMIC","Mus musculus","In vivo FACS purified cells","ILLUMINA","2014-08-08T00:00:00Z","GSM1441270","Short Term Hematopoietic Stem Cell (ST-HSC)","SRP044685","C57BL/6","SRR1521790_1_trimm_peaks.broadPeak","SRR1521790_1_trimm.bw","H3K27Ac_ST_HSC_1.bw","H3K27Ac_ST_HSC_1.broadPeak"
"4","SRR1521791","ChIP-Seq",60,308827320,"PRJNA255796","SAMN02929019",144097521,"H3K27Ac_ST_HSC_2","Short Term Hematopoietic Stem Cell (ST-HSC)","GEO","H3K27Ac","public","sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1","SRX658375","GSM1441270","Illumina HiSeq 1500","SINGLE","ChIP","GENOMIC","Mus musculus","In vivo FACS purified cells","ILLUMINA","2014-08-08T00:00:00Z","GSM1441270","Short Term Hematopoietic Stem Cell (ST-HSC)","SRP044685","C57BL/6","SRR1521791_1_trimm_peaks.broadPeak","SRR1521791_1_trimm.bw","H3K27Ac_ST_HSC_2.bw","H3K27Ac_ST_HSC_2.broadPeak"
"5","SRR1521792","ChIP-Seq",60,272530260,"PRJNA255796","SAMN02929020",126923006,"H3K27Ac_MPP_1","Multipotent Progenitor (MPP)","GEO","H3K27Ac","public","sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1","SRX658376","GSM1441271","Illumina HiSeq 1500","SINGLE","ChIP","GENOMIC","Mus musculus","In vivo FACS purified cells","ILLUMINA","2014-08-08T00:00:00Z","GSM1441271","Multipotent Progenitor (MPP)","SRP044685","C57BL/6","SRR1521792_1_trimm_peaks.broadPeak","SRR1521792_1_trimm.bw","H3K27Ac_MPP_1.bw","H3K27Ac_MPP_1.broadPeak"
"6","SRR1521793","ChIP-Seq",60,251825580,"PRJNA255796","SAMN02929020",117079999,"H3K27Ac_MPP_2","Multipotent Progenitor (MPP)","GEO","H3K27Ac","public","sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US","SRX658376","GSM1441271","Illumina HiSeq 1500","SINGLE","ChIP","GENOMIC","Mus musculus","In vivo FACS purified cells","ILLUMINA","2014-08-08T00:00:00Z","GSM1441271","Multipotent Progenitor (MPP)","SRP044685","C57BL/6","SRR1521793_1_trimm_peaks.broadPeak","SRR1521793_1_trimm.bw","H3K27Ac_MPP_2.bw","H3K27Ac_MPP_2.broadPeak"
"7","SRR1521794","ChIP-Seq",60,362593200,"PRJNA255796","SAMN02929021",168423424,"H3K27Ac_CMP_1","Common Myeloid Progenitor (CMP)","GEO","H3K27Ac","public","sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1","SRX658377","GSM1441272","Illumina HiSeq 1500","SINGLE","ChIP","GENOMIC","Mus musculus","In vivo FACS purified cells","ILLUMINA","2014-08-08T00:00:00Z","GSM1441272","Common Myeloid Progenitor (CMP)","SRP044685","C57BL/6","SRR1521794_1_trimm_peaks.broadPeak","SRR1521794_1_trimm.bw","H3K27Ac_CMP_1.bw","H3K27Ac_CMP_1.broadPeak"
"8","SRR1521795","ChIP-Seq",60,335164920,"PRJNA255796","SAMN02929021",155826286,"H3K27Ac_CMP_2","Common Myeloid Progenitor (CMP)","GEO","H3K27Ac","public","sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public","SRX658377","GSM1441272","Illumina HiSeq 1500","SINGLE","ChIP","GENOMIC","Mus musculus","In vivo FACS purified cells","ILLUMINA","2014-08-08T00:00:00Z","GSM1441272","Common Myeloid Progenitor (CMP)","SRP044685","C57BL/6","SRR1521795_1_trimm_peaks.broadPeak","SRR1521795_1_trimm.bw","H3K27Ac_CMP_2.bw","H3K27Ac_CMP_2.broadPeak"
"9","SRR1521796","ChIP-Seq",60,383799360,"PRJNA255796","SAMN02929021",178354742,"H3K27Ac_CMP_3","Common Myeloid Progenitor (CMP)","GEO","H3K27Ac","public","sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1","SRX658377","GSM1441272","Illumina HiSeq 1500","SINGLE","ChIP","GENOMIC","Mus musculus","In vivo FACS purified cells","ILLUMINA","2014-08-08T00:00:00Z","GSM1441272","Common Myeloid Progenitor (CMP)","SRP044685","C57BL/6","SRR1521796_1_trimm_peaks.broadPeak","SRR1521796_1_trimm.bw","H3K27Ac_CMP_3.bw","H3K27Ac_CMP_3.broadPeak"
"10","SRR1521797","ChIP-Seq",60,760817100,"PRJNA255796","SAMN02929021",346357805,"H3K27Ac_CMP_4","Common Myeloid Progenitor (CMP)","GEO","H3K27Ac","public","sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1","SRX658377","GSM1441272","Illumina HiSeq 1500","SINGLE","ChIP","GENOMIC","Mus musculus","In vivo FACS purified cells","ILLUMINA","2014-08-08T00:00:00Z","GSM1441272","Common Myeloid Progenitor (CMP)","SRP044685","C57BL/6","SRR1521797_1_trimm_peaks.broadPeak","SRR1521797_1_trimm.bw","H3K27Ac_CMP_4.bw","H3K27Ac_CMP_4.broadPeak"
